""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	3	50	0.1	0.1	50	774727.399308	0.064	1	Inf
"2"	2	3	1	300	0.1	1	900	74224.1611	46.07	1	Inf
"3"	2	3	1	300	0.1	0.75	900	74633.463043	37.346	1	0.799114760841997
"4"	2	3	1	150	0.1	0.5	900	74917.55798	9.124	1	0.677020982559806
"5"	2	4	3	50	0.1	0.1	50	751797.333471	0.067	1	0.0903011926758243
"6"	2	4	1	100	0.1	0.75	900	76585.240265	6.135	1	0.0892571007353803
"7"	2	4	3	50	0.1	0.25	50	638054.023296	0.081	1	0.0867603275627442
"8"	2	4	1	50	0.1	0.25	150	339878.606757	0.299	1	0.0863980380462981
"9"	2	4	3	50	0.1	0.25	50	612974.34631	0.084	1	0.083475192172076
"10"	2	4	1	50	0.1	0.5	150	291521.726161	0.335	1	0.0757031966548199
"11"	2	4	3	50	0.1	0.1	50	711531.651829	0.068	1	0.0699436067271916
"12"	2	4	1	50	0.1	0.5	50	529713.845225	0.117	1	0.0652072271161566
"13"	2	4	3	50	0.1	0.25	50	579655.043875	0.086	1	0.063951234755848
"14"	2	4	1	50	0.1	0.25	100	484075.850501	0.17	1	0.0563618780640401
"15"	2	4	3	50	0.1	0.5	50	560903.516692	0.112	1	0.0556197712769887
"16"	2	4	3	50	0.1	0.1	50	673659.441109	0.078	1	0.0530530952820502
"17"	2	4	1	50	0.1	0.5	200	242849.570198	0.45	1	0.0500189726696186
"18"	2	4	1	50	0.1	0.5	300	174616.062027	0.679	1	0.0460735732200607
"19"	2	4	1	50	0.1	0.25	100	511513.782871	0.169	1	0.0457206784484839
"20"	2	3	1	50	0.1	0.75	200	191468.255615	0.615	1	0.0435419270472067
"21"	2	4	1	50	0.1	0.75	150	269045.749988	0.42	1	0.0425214141474605
"22"	2	4	3	50	0.1	0.1	50	685724.698884	0.071	1	0.0396794433318186
"23"	2	4	3	50	0.1	0.1	50	702847.00827	0.07	1	0.0369053979171875
